Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\SiWx917 4-Layer Radio Board\Project Outputs for BRD9057A SiWx917 4-layer Ext Switch\Assembly\BRD9057A_SiWx917M_4-Layer_ExtSw_REF_DES_A01_XYR.txt

========================================================================================================================
File Design Information:

Date:       04/12/24
Time:       15:05
Revision:   a1ececd66849b9baa113f11d88e1a9cc09d8e4a8
Variant:    BRD9057A
Units used: mil

Designator Comment                            Layer       Footprint                         Center-X(mil) Center-Y(mil) Rotation Description                                                             
C18        GJM0335C1E8R2BB01                  TopLayer    C0201_GM                          383.858       793.307       180      "CAP CER 0201 C0G 8.2pF 25V ±0.1pF"                                     
R12        "RES 0201 100K 1/20W 1% 200ppm"    BottomLayer R0201                             594.488       480.315       180      "RES 0201 100K 1/20W 1% 200ppm"                                         
C53        "CAP CER 0201 X5R 10nF 16V 10%"    BottomLayer C0201_GM                          596.457       425.197       90       "CAP CER 0201 X5R 10nF 16V 10%"                                         
Y1         8Y40070013                         TopLayer    XTAL200X160X50                    224.409       685.039       270      "CRYSTAL 2.0X1.6mm 40MHz 8pF 8ppm"                                      
U2         HWS520                             TopLayer    USON8L_1.5X1.5MM_GM               423.228       922.244       180      "IC RF SWITCH SP3T 6GHz USON8L"                                         
C10        "CAP CER 0201 X5R 1uF 16V 20%"     TopLayer    C0201_GM                          803.150       322.835       0        "CAP CER 0201 X5R 1uF 16V 20%"                                          
C205       "CAP CER 0201 C0G 4pF 25V 0.05pF"  TopLayer    C0201_GM                          334.646       787.402       270      "CAP CER 0201 C0G 4pF 25V 0.05pF"                                       
C201       "TBD CAP 0402"                     TopLayer    C0402                             500.984       1301.181      90       "Placeholder for 0402 Capacitors"                                       
R202       "RES 0402 0R"                      TopLayer    R0402                             518.701       1179.134      0        "RES 0402 0R"                                                           
R201       "RES 0402 0R"                      TopLayer    R0402                             500.984       1196.850      90       "RES 0402 0R"                                                           
ANT1       "PATCH ANT INVERTED-F"             TopLayer    EM358x_INVERTED_F                 424.492       1389.241      0        "ANT PATCH 19.5MM INVERTED-F"                                           
R224       RC0402FR-070RL                     TopLayer    R0402                             267.716       826.772       270      "RES 0402 0R 1/16W 1% 200ppm"                                           
R212       RC0402FR-070RL                     TopLayer    R0402                             251.969       608.268       0        "RES 0402 0R 1/16W 1% 200ppm"                                           
R207       RC0402FR-070RL                     TopLayer    R0402                             303.150       814.961       270      "RES 0402 0R 1/16W 1% 200ppm"                                           
R206       RC0402FR-070RL                     TopLayer    R0402                             586.614       917.323       270      "RES 0402 0R 1/16W 1% 200ppm"                                           
MARK3      "LOGO PBF 2MM"                     BottomLayer LOGO_PBF_2MM                      -5708.663     -4921.260     180      "Silkscreen logo, lead free, 2MM"                                       
MARK2      "LOGO ESD 4.5MM"                   BottomLayer LOGO_ESD_4.5MM                    -5708.663     -4921.260     180      "Silkscreen logo, ESD, 4.5MM"                                           
MARK1      "LOGO RoHS 5MM"                    BottomLayer LOGO_RoHS_5MM                     -5708.663     -4921.260     180      "Silkscreen logo, RoHS, 5MM"                                            
R220       "RES 0402 0R"                      BottomLayer R0402                             793.307       427.166       0        "RES 0402 0R"                                                           
LOGO1      "LOGO SILABS 12MM"                 TopLayer    LOGO_SILABS_W12.0_SILK            -5708.663     -4921.260     0        "Silkscreen logo, Silabs logo and text, B: 12MM, H:6MM"                 
C52        GRM0335C1H120FA01                  TopLayer    C0201_GM                          517.716       389.764       0        "CAP CER 0201 C0G 12pF 50V 1%"                                          
C51        GRM0335C1H120FA01                  TopLayer    C0201_GM                          572.835       389.764       180      "CAP CER 0201 C0G 12pF 50V 1%"                                          
R210       "RES 0402 0R"                      BottomLayer R0402                             911.418       964.567       0        "RES 0402 0R"                                                           
R204       "RES 0402 0R"                      BottomLayer R0402                             871.897       807.651       90       "RES 0402 0R"                                                           
