Designator;Footprint;Mid X;Mid Y;Ref X;Ref Y;Pad X;Pad Y;TB;Rotation;Comment
;;;;;;;;;;
C102;C0402_L;16.9672mm;17.3482mm;16.9672mm;17.3482mm;16.9672mm;17.7982mm;T;270.00;100P
C103;C0402_L;16.2306mm;17.3482mm;16.2306mm;17.3482mm;16.2306mm;17.7982mm;T;270.00;10P
L10;L0201_L;15.4178mm;21.971mm;15.4178mm;21.971mm;15.4178mm;22.241mm;T;270.00;
C12;C0201_L;11.786mm;22.809mm;11.786mm;22.809mm;12.061mm;22.809mm;T;180.00;
L3;L0201_L;12.2682mm;24.765mm;12.2682mm;24.765mm;12.2682mm;24.495mm;T;90.00;
C7;C0201_L;14.5542mm;27.3812mm;14.5542mm;27.3812mm;14.2792mm;27.3812mm;T;0.00;
C5;C0201_L;12.675mm;23.038mm;12.675mm;23.038mm;12.675mm;22.763mm;T;90.00;
L9;L0201_L;13.843mm;21.6154mm;13.843mm;21.6154mm;14.113mm;21.6154mm;T;180.00;
C14;C0201_L;15.6464mm;21.1582mm;15.6464mm;21.1582mm;15.3714mm;21.1582mm;T;360.00;
TPJ20;TP_1.0_SMD;3.34mm;1.45mm;3.34mm;1.45mm;3.34mm;1.45mm;B;90.00;TPJ_SMD
TPJ19;TP_1.0_SMD;6mm;8.4mm;6mm;8.4mm;6mm;8.4mm;B;90.00;TPJ_SMD
TPJ18;TP_1.0_SMD;8.15mm;9.42mm;8.15mm;9.42mm;8.15mm;9.42mm;B;90.00;TPJ_SMD
R206;R0402_L;21.9749mm;14.3001mm;21.975mm;14.3mm;22.4249mm;14.3001mm;B;180.00;0R
R205;R0402_L;21.5251mm;13.8501mm;21.525mm;13.85mm;21.5251mm;13.4001mm;B;90.00;0R
TP1;TP_INGUN_50_OHM_CLOSED_OPENVIA;23.845mm;32.56mm;23.845mm;33.135mm;23.845mm;33.135mm;B;180.00;RF_TEST_POINT
R211;R0402_L;4.8501mm;12.9749mm;4.85mm;12.975mm;4.4001mm;12.9749mm;B;360.00;0R
R210;R0402_L;4.3999mm;12.5249mm;4.4mm;12.525mm;4.3999mm;12.9749mm;B;270.00;0R
L2;L0201_L;10.2616mm;23.7236mm;10.2616mm;23.7236mm;10.2616mm;23.4536mm;T;90.00;
C2;C0201_L;10.0076mm;22.8346mm;10.0076mm;22.8346mm;9.7326mm;22.8346mm;T;360.00;
R103;R0402_L;13.4999mm;10.0501mm;13.5mm;10.05mm;13.4999mm;9.6001mm;T;90.00;330K
L8;L0201_L;12.065mm;21.996mm;12.065mm;21.996mm;12.065mm;22.266mm;T;270.00;
L11;L0201_L;12.6746mm;21.1328mm;12.6746mm;21.1328mm;12.4046mm;21.1328mm;T;360.00;
C117;C0402_L;11.4681mm;11.6586mm;11.4681mm;11.6586mm;11.4681mm;12.1086mm;T;270.00;1U
C114;C0402_L;12.2555mm;11.6586mm;12.2555mm;11.6586mm;12.2555mm;12.1086mm;T;270.00;1U
C112;C0603_L;5.5372mm;16.764mm;5.5372mm;16.764mm;5.5372mm;16.064mm;T;90.00;10U
C10;C0201_L;13.4366mm;25.6286mm;13.4366mm;25.6286mm;13.7116mm;25.6286mm;T;180.00;
C9;C0201_L;13.97mm;23.876mm;13.97mm;23.876mm;13.695mm;23.876mm;T;0.00;
C8;C0201_L;14.5542mm;22.2758mm;14.5542mm;22.2758mm;14.8292mm;22.2758mm;T;180.00;
C4;C0201_L;13.7414mm;22.479mm;13.7414mm;22.479mm;13.7414mm;22.204mm;T;90.00;
C3;C0201_L;10.541mm;24.5872mm;10.541mm;24.5872mm;10.816mm;24.5872mm;T;180.00;
R204;R0402_L;4.9751mm;21.8249mm;4.975mm;21.825mm;4.5251mm;21.8249mm;B;360.00;0R
R203;R0402_L;5.4251mm;21.3751mm;5.425mm;21.375mm;5.4251mm;20.9251mm;B;90.00;0R
R201;R0402_L;3.9751mm;11.1749mm;3.975mm;11.175mm;3.5251mm;11.1749mm;B;360.00;0R
R200;R0402_L;24.1501mm;17.7999mm;24.15mm;17.8mm;23.7001mm;17.7999mm;B;360.00;10K
R100;R0402_L;4.5501mm;16.3499mm;4.55mm;16.35mm;4.5501mm;16.7999mm;T;270.00;1R
R2;R0201_L;9.2mm;26.5mm;9.2mm;26.5mm;9.5mm;26.5mm;T;180.00;0R
R1;R0201_L;9.5mm;26.8mm;9.5mm;26.8mm;9.5mm;26.5mm;T;90.00;0R
C207;C0402_L;15.975mm;18.375mm;15.975mm;18.375mm;15.525mm;18.375mm;B;360.00;100N
C205;C0805_L;3.9mm;9.875mm;3.9mm;9.875mm;3.1mm;9.875mm;B;360.00;10U
C203;C0402_L;3.925mm;8.725mm;3.925mm;8.725mm;3.475mm;8.725mm;B;360.00;100N
C201;C0402_L;3.925mm;7.975mm;3.925mm;7.975mm;3.475mm;7.975mm;B;360.00;100N
C200;C0402_L;25.2mm;21.4mm;25.2mm;21.4mm;25.2mm;20.95mm;B;90.00;100N
C124;C0402_L;14.75mm;9.85mm;14.75mm;9.85mm;15.2mm;9.85mm;T;180.00;100N
C116;C0402_L;10.668mm;11.6586mm;10.668mm;11.6586mm;10.668mm;12.1086mm;T;270.00;100N
C115;C0402_L;9.85mm;9.9mm;9.85mm;9.9mm;9.85mm;9.45mm;T;90.00;1U
C113;C0402_L;6.548mm;16.35mm;6.548mm;16.35mm;6.548mm;15.9mm;T;90.00;10N
C111;C0402_L;9.848mm;11.7mm;9.848mm;11.7mm;9.848mm;12.15mm;T;270.00;1U
C110;C0603_L;11.684mm;9.8425mm;11.684mm;9.8425mm;10.984mm;9.8425mm;T;360.00;10U
C107;C0201_L;9.7282mm;21.4757mm;9.7282mm;21.4757mm;9.7282mm;21.2007mm;T;90.00;10P
C106;C0402_L;7.6454mm;22.1488mm;7.6454mm;22.1488mm;8.0954mm;22.1488mm;T;180.00;220N
TPJ17;TP_1.0_SMD;15.55mm;17.1mm;15.55mm;17.1mm;15.55mm;17.1mm;B;90.00;TPJ_SMD
TPJ16;TP_1.0_SMD;24.25mm;8.75mm;24.25mm;8.75mm;24.25mm;8.75mm;B;90.00;TPJ_SMD
TPJ15;TP_1.0_SMD;26.35mm;22.8mm;26.35mm;22.8mm;26.35mm;22.8mm;B;90.00;TPJ_SMD
TPJ14;TP_1.0_SMD;26.35mm;20.2mm;26.35mm;20.2mm;26.35mm;20.2mm;B;90.00;TPJ_SMD
