RefDes;X;Y;Rot.;Exact;(FREE);Side
C1;737;882;90;EXACT;(FREE);Top
C2;775;882;90;EXACT;(FREE);Top
C3;634;696;180;EXACT;(FREE);Top
C4;634;658;180;EXACT;(FREE);Top
C5;348,5276;460,6299;90;EXACT;(FREE);Top
C6;378;357;180;EXACT;(FREE);Top
C7;194;642;270;EXACT;(FREE);Top
C8;153;656;270;EXACT;(FREE);Top
C9;471;460,76;90;EXACT;(FREE);Top
C10;387,8976;460,6299;90;EXACT;(FREE);Top
C11;429;460,51;90;EXACT;(FREE);Top
C12;718;600;270;EXACT;(FREE);Top
C13;280;281;90;EXACT;(FREE);Top
CC1;405;1006;0;EXACT;(FREE);Top
CC2;639;1066;90;EXACT;(FREE);Top
CC3;583;1420;90;EXACT;(FREE);Top
CC4;455;1420;90;EXACT;(FREE);Top
CC6;657;1048;0;EXACT;(FREE);Top
CC7;369;1006;0;EXACT;(FREE);Top
CHF0;601;1145;0;EXACT;(FREE);Top
CHF1;601;1255;0;EXACT;(FREE);Top
CHF2;601;1365;0;EXACT;(FREE);Top
CHF3;437;1145;180;EXACT;(FREE);Top
CHF4;437;1255;180;EXACT;(FREE);Top
CHF5;437;1365;180;EXACT;(FREE);Top
CHF6;545;1200;90;EXACT;(FREE);Top
CHF7;621;1310;90;EXACT;(FREE);Top
CHF8;417;1200;90;EXACT;(FREE);Top
CHF9;493;1310;90;EXACT;(FREE);Top
CR1-1;479;968;0;EXACT;(FREE);Top
CR1-2;349;876;270;EXACT;(FREE);Top
CR2;405;968;180;EXACT;(FREE);Top
CR3;331;931;0;EXACT;(FREE);Top
CT1-1;581;882;90;EXACT;(FREE);Top
CT1-2;657;882;90;EXACT;(FREE);Top
CT2;602;1030;270;EXACT;(FREE);Top
CT3;509;1006;0;EXACT;(FREE);Top
DPDT_SWITCH;519;1112;0;EXACT;(FREE);Top
J1;478,4488;188,9764;0;EXACT;(FREE);Top
J2;69;921;90;EXACT;(FREE);Top
J3;69;679;90;EXACT;(FREE);Top
L5;250;402;270;EXACT;(FREE);Top
LC;699;882;90;EXACT;(FREE);Top
LHF0;583;1200;270;EXACT;(FREE);Top
LHF1;583;1310;270;EXACT;(FREE);Top
LHF2;455;1200;270;EXACT;(FREE);Top
LHF3;455;1310;270;EXACT;(FREE);Top
LR1-1;497;875;90;EXACT;(FREE);Top
LR1-2;442;858;180;EXACT;(FREE);Top
LR2-1;479;930;0;EXACT;(FREE);Top
LR2-2;387;876;270;EXACT;(FREE);Top
LR3;405;930;0;EXACT;(FREE);Top
LT1-1;543;882;90;EXACT;(FREE);Top
LT1-2;619;882;90;EXACT;(FREE);Top
LT2-1;561;937;180;EXACT;(FREE);Top
LT2-2;639;937;180;EXACT;(FREE);Top
LT3;582;975;0;EXACT;(FREE);Top
LT4;564;1030;270;EXACT;(FREE);Top
RX;163;1260;90;EXACT;(FREE);Top
TRX_HB;199;1730;0;EXACT;(FREE);Top
TRX_LB;829;1730;0;EXACT;(FREE);Top
TX;869;1260;270;EXACT;(FREE);Top
U1;428,0081;675,4897;90;EXACT;(FREE);Top
X1;627;738;0;EXACT;(FREE);Top
X2;206,8;519;0;EXACT;(FREE);Top
