RefDes;X;Y;Rot.;Exact;(FREE);Side
C1;722;915;90;EXACT;(FREE);Top
C2;760;915;90;EXACT;(FREE);Top
C3;634;696;180;EXACT;(FREE);Top
C4;634;658;180;EXACT;(FREE);Top
C5;348,5276;460,6299;90;EXACT;(FREE);Top
C6;378;357;180;EXACT;(FREE);Top
C7;194;642;270;EXACT;(FREE);Top
C8;153;656;270;EXACT;(FREE);Top
C9;471;460,76;90;EXACT;(FREE);Top
C10;387,8976;460,6299;90;EXACT;(FREE);Top
C11;429;460,51;90;EXACT;(FREE);Top
C12;718;600;270;EXACT;(FREE);Top
C13;280;281;90;EXACT;(FREE);Top
CC1;424;951;90;EXACT;(FREE);Top
CC2;609;952;90;EXACT;(FREE);Top
CC3;583;1312;90;EXACT;(FREE);Top
CC4;455;1312;90;EXACT;(FREE);Top
CC6;664;970;0;EXACT;(FREE);Top
CC7;349;950;270;EXACT;(FREE);Top
CHF0;601;1037;0;EXACT;(FREE);Top
CHF1;601;1147;0;EXACT;(FREE);Top
CHF2;601;1257;0;EXACT;(FREE);Top
CHF3;437;1037;180;EXACT;(FREE);Top
CHF4;437;1147;180;EXACT;(FREE);Top
CHF5;437;1257;180;EXACT;(FREE);Top
CHF6;621;1092;90;EXACT;(FREE);Top
CHF7;493;1092;90;EXACT;(FREE);Top
CHF8;493;1202;90;EXACT;(FREE);Top
CR1;369;859;180;EXACT;(FREE);Top
CR2;479;933;180;EXACT;(FREE);Top
CR3;424;877;270;EXACT;(FREE);Top
CT1;664;860;180;EXACT;(FREE);Top
CT2;554;934;0;EXACT;(FREE);Top
CT3;609;878;90;EXACT;(FREE);Top
DPDT_SWITCH;519;990;0;EXACT;(FREE);Top
J1;478,4488;188,9764;0;EXACT;(FREE);Top
J2;69;921;90;EXACT;(FREE);Top
J3;69;679;90;EXACT;(FREE);Top
L5;250;402;270;EXACT;(FREE);Top
LC;684;915;90;EXACT;(FREE);Top
LHF0;583;1092;270;EXACT;(FREE);Top
LHF1;583;1202;270;EXACT;(FREE);Top
LHF2;455;1092;270;EXACT;(FREE);Top
LHF3;455;1202;270;EXACT;(FREE);Top
LR1;479;857;0;EXACT;(FREE);Top
LR2;387;914;270;EXACT;(FREE);Top
LR3;479;895;0;EXACT;(FREE);Top
LT1;554;858;0;EXACT;(FREE);Top
LT2;646;915;270;EXACT;(FREE);Top
LT3;554;896;0;EXACT;(FREE);Top
RX;163;1230;90;EXACT;(FREE);Top
TRX_HB;199;1730;0;EXACT;(FREE);Top
TRX_LB;829;1730;0;EXACT;(FREE);Top
TX;869;1230;270;EXACT;(FREE);Top
U1;428,0081;675,4897;90;EXACT;(FREE);Top
X1;627;738;0;EXACT;(FREE);Top
X2;206,8;519;0;EXACT;(FREE);Top
