Altium Designer Pick and Place Locations
C:\Users\vevarati\Dropbox (Silicon Labs)\IoT Apps Wireless HW\Virtual Reference Designs\EFR32xG22_LC_REF_DES\working\EFR32xG22_LC_REF_DES_RevA02\Assembly\EFR32xG22_LC_REF_DES_A02_XYR.csv

========================================================================================================================
File Design Information:

Date:       11/06/21
Time:       13:48
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Layer","Rotation","Comment"
"R14","0201","469.890","1038.800","469.890","1028.300","469.890","1028.300","TopLayer","90","0R"
"R13","0201","504.790","1028.400","515.290","1028.400","515.290","1028.400","TopLayer","180","0R"
"Z2","0201","594.610","950.310","594.610","939.810","594.610","939.810","TopLayer","90","0R"
"R11","0201","539.740","1038.900","539.740","1028.400","539.740","1028.400","TopLayer","90","0R"
"R10","0201","642.999","485.408","642.999","474.908","642.999","474.908","TopLayer","90","0R"
"R8","0201","490.860","509.380","490.860","498.880","490.860","498.880","TopLayer","90","0R"
"R7","0201","605.120","939.800","594.620","939.800","594.620","939.800","TopLayer","360","0R"
"R5","0201","562.770","518.060","552.270","518.060","552.270","518.060","TopLayer","360","0R"
"R4","0201","573.360","507.480","573.360","496.980","573.360","496.980","TopLayer","90","0R"
"R3","0201","643.260","430.800","643.260","420.300","643.260","420.300","TopLayer","90","0R"
"R2","0201","613.180","438.870","602.680","438.870","602.680","438.870","TopLayer","360","0R"
"R1","0201","549.190","482.090","549.190","471.590","549.190","471.590","TopLayer","90","0R"
"C10","C_0402","602.930","496.610","602.930","478.890","602.930","478.890","TopLayer","0","1"
"C13","0201","649.820","567.050","660.320","567.050","660.320","567.050","TopLayer","180","100n"
"C15","0201","572.810","571.860","572.810","561.360","572.810","561.360","TopLayer","90","100n"
"C9","0201","526.810","566.180","526.810","555.680","526.810","555.680","TopLayer","90","100n"
"C6","0201","539.210","833.970","539.210","823.470","539.210","823.470","TopLayer","90","100n"
"C16","0201","458.730","644.420","469.230","644.420","469.230","644.420","TopLayer","180","10N"
"C11","0201","598.708","571.691","598.708","582.191","598.708","582.191","TopLayer","270","10N"
"C7","0201","561.510","833.840","561.510","823.340","561.510","823.340","TopLayer","90","120P"
"C4","0201","673.610","830.220","673.610","819.720","673.610","819.720","TopLayer","90","120P"
"C5","0201","652.710","808.500","652.710","798.000","652.710","798.000","TopLayer","90","120P"
"Z1","0201","594.640","906.540","594.640","896.040","594.640","896.040","TopLayer","90","18P"
"C1","0201","604.710","802.320","594.210","802.320","594.210","802.320","TopLayer","360","1P0"
"C2","0201","584.060","873.210","573.560","873.210","573.560","873.210","TopLayer","360","1P3"
"C8","C_0603","460.891","554.780","488.450","554.780","488.450","554.780","TopLayer","180","1U"
"C12","C_0603","670.558","529.042","642.999","529.042","642.999","529.042","TopLayer","360","1U"
"L1","0201","594.310","840.150","594.310","829.650","594.310","829.650","TopLayer","90","2N6"
"L5","L_0603","422.352","606.760","459.753","606.760","459.753","606.760","TopLayer","270","2U2"
"X2","LFXO","762.094","530.026","762.094","530.026","762.094","579.239","TopLayer","270","32.768 kHz"
"X1","HFXO_TZ2205E","745.132","753.003","767.770","724.460","722.494","781.547","TopLayer","90","38.4 MHz"
"C14","C_0603","331.976","627.467","331.976","599.908","331.976","599.908","TopLayer","90","4U7"
"Designator4","Logo_LCRD","-4529.840","-3341.190","83.530","964.510","-4529.840","-3341.190","TopLayer","0","Comment"
"BAT1","BU2032SM-BT-GTR","740.458","327.460","740.458","327.460","1317.230","327.460","BottomLayer","180","Comment"
"C18","C0805_L","1187.460","202.990","1187.460","202.990","1187.460","171.494","TopLayer","90","Comment"
"P1","SMTC-FTSH-105-01-L-DV-K_V","430.240","177.000","430.240","177.000","530.240","257.118","TopLayer","180","Comment"
"P2","TECO-1909763-1_V","767.780","976.080","797.800","976.080","797.800","1034.151","TopLayer","270","Comment"
"U1","EFR_QFN32","586.062","692.210","586.062","692.210","664.802","637.092","TopLayer","180","EFR32xG22"
"L3","0402_Taiyo","496.955","824.360","496.758","824.360","481.010","824.360","TopLayer","360","FB"
"L2","0402_Taiyo","714.963","855.670","715.160","855.670","730.908","855.670","TopLayer","180","FB"
"AT1","SPIRAL_IFA_INV","361.427","993.573","71.982","1168.640","433.982","1029.140","TopLayer","0","SPIRAL_IFA"
"TP14","TP","810.590","710.770","810.590","710.770","810.590","710.770","TopLayer","90","TP_SMD"
"TP13","TP","808.870","666.810","808.870","666.810","808.870","666.810","TopLayer","90","TP_SMD"
"TP8","TP","358.550","787.900","358.550","787.900","358.550","787.900","TopLayer","90","TP_SMD"
"TP7","TP","401.858","783.963","401.858","783.963","401.858","783.963","TopLayer","90","TP_SMD"
"TP12","TP","804.450","623.330","804.450","623.330","804.450","623.330","TopLayer","90","TP_SMD"
"TP11","TP","760.330","635.730","760.330","635.730","760.330","635.730","TopLayer","90","TP_SMD"
"TP6","TP","472.140","773.800","472.140","773.800","472.140","773.800","TopLayer","180","TP_SMD"
"TP5","TP","370.361","719.987","370.361","719.987","370.361","719.987","TopLayer","180","TP_SMD"
"TP4","TP","433.354","752.467","433.354","752.467","433.354","752.467","TopLayer","180","TP_SMD"
"TP2","TP","686.270","469.370","642.064","494.553","686.270","469.370","BottomLayer","90","TP_SMD"
