RefDes;X;Y;Rot.;Exact;(FREE);Side
C1;-3,8;-0,8;270;EXACT;(FREE);Top
C2;-5,7;-0,8;270;EXACT;(FREE);Top
C3;-8,9;-0,85;65;EXACT;(FREE);Top
C4;0,6;-4,6;270;EXACT;(FREE);Top
C5;4,15;-2,4;180;EXACT;(FREE);Top
C6;-4,4;-2,45;0;EXACT;(FREE);Top
C7;-4,15;-1,75;0;EXACT;(FREE);Top
C8;3,05;-6,15;0;EXACT;(FREE);Top
C9;4,85;5,35;270;EXACT;(FREE);Top
C10;4,75;-10,65;0;EXACT;(FREE);Top
C11;-3,95;0,1;0;EXACT;(FREE);Top
C12;-3,95;0,8;0;EXACT;(FREE);Top
C13;2,7;-0,7;180;EXACT;(FREE);Top
C14;2,7;0;180;EXACT;(FREE);Top
C15;2,45;6,35;180;EXACT;(FREE);Top
C16;2,7;-1,8;90;EXACT;(FREE);Top
C17;-6,7;-1,1;180;EXACT;(FREE);Top
C18;5,95;-8,65;180;EXACT;(FREE);Top
C19;-7,6;-1,35;90;EXACT;(FREE);Top
C21;-3,45;-9,9;330;EXACT;(FREE);Top
D1;-8,5;-3,8;270;EXACT;(FREE);Top
HOL1;2,7;-12,8;0;EXACT;(FREE);Top
HOL2;0,9;-12,8;0;EXACT;(FREE);Top
HOL3;0;-12,8;0;EXACT;(FREE);Top
HOL4;-0,9;-12,8;0;EXACT;(FREE);Top
HOL5;-1,8;-12,8;0;EXACT;(FREE);Top
HOL6;-2,7;-12,8;0;EXACT;(FREE);Top
HOL7;1,8;-12,8;0;EXACT;(FREE);Top
J1;0;-20;180;EXACT;(FREE);Top
L1;9,8999;-0,3;20;EXACT;(FREE);Top
L2;-9,8001;-0,5001;320;EXACT;(FREE);Top
L4;-4,8001;-1,1001;0;EXACT;(FREE);Top
L5;-9,3;1,5001;150;EXACT;(FREE);Top
L6;3,5;-4,2;0;EXACT;(FREE);Top
R2;4,15;-1,45;0;EXACT;(FREE);Top
R5;-4,2;-10,6;150;EXACT;(FREE);Top
R9;-7,25;-3,05;180;EXACT;(FREE);Top
SW1;-6,15;-7,25;127;EXACT;(FREE);Top
TP1;6,5;2,05;0;EXACT;(FREE);Top
TP2;6,5;3,2;0;EXACT;(FREE);Top
TP3;-2,95;-4,9;0;EXACT;(FREE);Top
TP4;6,5;0,9;0;EXACT;(FREE);Top
TP5;1,6;-18,1;0;EXACT;(FREE);Bottom
TP6;-2,45;-18,1;0;EXACT;(FREE);Bottom
TP7;-0,4;-18,1;0;EXACT;(FREE);Bottom
U1;-0,8;-1,3;270;EXACT;(FREE);Top
U3;3,35;4,85;90;EXACT;(FREE);Top
U5;4,25;-8,95;180;EXACT;(FREE);Top
Y1;4,2;0,4;0;EXACT;(FREE);Top
Y2;-3,75;2,1;90;EXACT;(FREE);Top
Y3;0;-2,5;0;EXACT;(FREE);Bottom
