Altium Designer Pick and Place Locations
I:\EFR32_Series-2\Sol_xG25\radio_board_designs\Discrete-Match_Design\BRD4270Y_FG25-Discrete-Match_Diversity_Board_Design\Project Outputs for BRD4270Y\Pick Place for PCB4270Y_A00.txt

========================================================================================================================
File Design Information:

Date:       05/06/25
Time:       12:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                     Layer       Footprint                           Center-X(mm) Center-Y(mm) Rotation Description                     
SW1        SKY13438-374LF              TopLayer    SKY13438-374LF_FOOTPRINT            12.4250mm    35.9750mm    0        ""                              
C11        10pF                        TopLayer    C0201_L                             11.0250mm    36.2500mm    90       ""                              
C10        10pF                        TopLayer    C0201_L                             13.8750mm    35.7000mm    270      ""                              
R12        NM                          TopLayer    R0402_L                             22.2751mm    29.0751mm    0        ""                              
R11        NM                          TopLayer    R0402_L                             22.7001mm    27.8499mm    270      ""                              
R10        0R                          TopLayer    R0402_L                             21.8251mm    27.8499mm    270      ""                              
R7         0R                          TopLayer    R0201_L                             20.7500mm    28.3000mm    180      ""                              
R6         0R                          TopLayer    R0201_L                             17.0000mm    28.0000mm    0        ""                              
R5         NM                          TopLayer    R0201_L                             17.0000mm    27.5500mm    180      ""                              
R4         NM                          TopLayer    R0201_L                             14.6625mm    33.3750mm    180      ""                              
R3         NM                          TopLayer    R0201_L                             14.4500mm    30.6250mm    270      ""                              
R2         0R                          TopLayer    R0201_L                             13.9625mm    33.3750mm    0        ""                              
R1         0R                          TopLayer    R0201_L                             13.9500mm    30.6250mm    90       ""                              
CC4        100pF                       TopLayer    C0201_L                             13.2350mm    37.0000mm    180      ""                              
CC3        100pF                       TopLayer    C0201_L                             11.9750mm    37.0000mm    0        ""                              
CC2        100pF                       TopLayer    C0201_L                             14.0000mm    33.9250mm    180      ""                              
C101       100P                        TopLayer    C0201_L                             17.0000mm    27.1000mm    180      ""                              
C100       100N                        TopLayer    C0201_L                             20.0183mm    28.5700mm    90       ""                              
X3         39.0MHz                     TopLayer    TCXO_TX0862AAAM53_SMD2016           18.7251mm    27.3999mm    270      ""                              
U2         SF4000-914-06-SX            TopLayer    SF1256                              13.9500mm    32.2250mm    90       "B2645 from Qualcomm also fits" 
ANT2       SMA                         TopLayer    TE_SMA_1814832_TH_VER               -25.0000mm   43.6880mm    0        ""                              
LM1        22nH                        TopLayer    COIL_0201_L                         12.9000mm    29.1500mm    0        ""                              
