Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
LM1,COIL_0201_L,12.9mm,29.125mm,12.9mm,29.125mm,12.6mm,29.125mm,T,360,22nH
LF2,COIL_0201_L,13.275mm,31.85mm,13.275mm,31.85mm,12.975mm,31.85mm,T,360,6.8nH
LF1,COIL_0201_L,12.6mm,31.15mm,12.6mm,31.15mm,12.6mm,30.85mm,T,90,6.8nH
CF3,C0201_L,13.975mm,31.575mm,13.975mm,31.575mm,13.975mm,31.85mm,T,270,5.1pF
CF2,C0201_L,12.325mm,31.85mm,12.325mm,31.85mm,12.6mm,31.85mm,T,180,10pF
CF1,C0201_L,12.325mm,30.45mm,12.325mm,30.45mm,12.6mm,30.45mm,T,180,4.7pF
L101,COIL_1008_L,6.525mm,18.6mm,6.525mm,18.6mm,6.525mm,19.743mm,T,270,2U2
C114,C0201_L,17.85mm,24.075mm,17.85mm,24.075mm,17.575mm,24.075mm,T,360,100N
C117,C0402_L,5.85mm,22.35mm,5.85mm,22.35mm,6.3mm,22.35mm,T,180,1U
R210,R0402_L,4.425mm,18.15mm,4.4249mm,18.1501mm,3.975mm,18.15mm,B,360,0R
R211,R0402_L,4.875mm,17.7mm,4.8749mm,17.6999mm,4.875mm,17.25mm,B,90,0R
C123,C0402_L,6.4mm,21mm,6.4mm,21mm,6.85mm,21mm,T,180,1U
C122,C0201_L,7.95mm,21.325mm,7.95mm,21.325mm,7.95mm,21.6mm,T,270,100N
C121,C0201_L,10.475mm,18.225mm,10.475mm,18.225mm,10.75mm,18.225mm,T,180,100N
C120,C0603_L,9.25mm,16.675mm,9.25mm,16.675mm,9.95mm,16.675mm,T,180,4U7
C105,C0402_L,9.85mm,30.775mm,9.85mm,30.775mm,9.85mm,30.325mm,T,90,470N
L105,COIL_MUR_BLM03_0201,10.975mm,29.275mm,10.975mm,29.275mm,10.675mm,29.275mm,T,360,BLM03PG330SN1D
C106,C0201_L,10.525mm,30.1mm,10.525mm,30.1mm,10.525mm,29.825mm,T,90,100P
C107,C0201_L,11.9746mm,29.075mm,11.9746mm,29.075mm,11.9746mm,28.8mm,T,90,100P
L103,COIL_MUR_BLM03_0201,9.175mm,29.825mm,9.175mm,29.825mm,9.175mm,29.525mm,T,90,0R
L102,COIL_MUR_BLM03_0201,17.675mm,29.275mm,17.675mm,29.275mm,17.975mm,29.275mm,T,180,BLM03AG700SN1D
