"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R46","0201","20.588mm","7.1448mm","20.588mm","7.4115mm","20.588mm","7.4115mm","T","270.00","R46"
"R45","0201","20.8597mm","7.9228mm","20.5931mm","7.9228mm","20.5931mm","7.9228mm","T","360.00","R45"
"C31","0201","22.1823mm","8.4475mm","22.1823mm","8.1808mm","22.1823mm","8.1808mm","T","90.00","C31"
"C28","0201","32.1269mm","5.586mm","32.1269mm","5.8527mm","32.1269mm","5.8527mm","T","270.00","C28"
"C1","0201","15.3655mm","22.192mm","15.0988mm","22.192mm","15.0988mm","22.192mm","T","360.00","C1"
"C5","0201","16.5788mm","20.5359mm","16.5788mm","20.2692mm","16.5788mm","20.2692mm","T","90.00","C5"
"C11","0201","15.2072mm","14.521mm","15.2072mm","14.7877mm","15.2072mm","14.7877mm","T","270.00","C11"
"C12","C_0402","16.8356mm","13.5776mm","16.3855mm","13.5776mm","16.3855mm","13.5776mm","T","270.00","C12"
"C14","C_0402","8.7297mm","14.9327mm","8.7297mm","15.3827mm","8.7297mm","15.3827mm","T","180.00","C14"
"L1","0201","15.0988mm","21.4175mm","15.0988mm","21.1508mm","15.0988mm","21.1508mm","T","90.00","L1"
"L2","0201","15.1011mm","22.9667mm","15.1011mm","22.7mm","15.1011mm","22.7mm","T","90.00","L2"
"L3","0201","12.571mm","24.2976mm","12.8377mm","24.2976mm","12.8377mm","24.2976mm","T","180.00","L3"
"L5","L_0603","11.7797mm","21.2065mm","10.8297mm","21.2065mm","10.8297mm","21.2065mm","T","90.00","L5"
"R1","0201","14.3022mm","24.2992mm","14.5689mm","24.2992mm","14.5689mm","24.2992mm","T","180.00","R1"
"R2","0201","14.8361mm","24.2994mm","14.5694mm","24.2994mm","14.5694mm","24.2994mm","T","360.00","R2"
"R4","0201","16.0073mm","12.1247mm","16.0073mm","11.858mm","16.0073mm","11.858mm","T","90.00","R4"
"R5","0201","16.5616mm","12.1249mm","16.5616mm","11.8582mm","16.5616mm","11.8582mm","T","90.00","R5"
