Altium Designer Pick and Place Locations,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       05/08/25,,,,,,,
Time:       11:57,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    No variations,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
C7,NM,TopLayer,C0201_L,12.45,23.725,180,
CC1,47P,TopLayer,C0201_L,14,37,180,
R204,0R,TopLayer,R0201_L,22.875,19.8,90,
R203,NM,TopLayer,R0201_L,22.65,20.75,0,
R202,0R,TopLayer,R0201_L,22.65,21.275,0,
U3,SKY13438-374LF,TopLayer,SKY13438-374LF,15,35.85,0,
CC3,47P,TopLayer,C0201_L,15.55,27.475,0,
C6,10P,TopLayer,C0201_L,16.625,35.85,180,
C2,10P,TopLayer,C0201_L,13.425,35.85,0,
X3,39.0MHz,TopLayer,TCXO_7Z-38.400MBG-T_SMD2016_TXC,18.95,19.725,270,
U2,SF4000-914-06-SX (US),TopLayer,SF1256,14.85,25.575,90,B2645 from Qualcomm also fits
R108,0R,TopLayer,R0201_L,21.25,20.75,180,
R107,0R,TopLayer,R0201_L,17.125,20.75,180,
R106,NM,TopLayer,R0201_L,17.125,20.25,180,
R104,NM,TopLayer,R0201_L,14.315,27.475,180,
R103,330K,TopLayer,R0201_L,21.5,14.05,90,
R102,0R,TopLayer,R0201_L,14.575,27.175,90,
R101,0R,TopLayer,R0201_L,14.85,23.975,90,
P1,SMA,TopLayer,TE_SMA_1814832_TH_VER,56,37,0,
CC2,47P,TopLayer,C0201_L,16,37,0,
C121,100P,TopLayer,C0201_L,17.25,19.75,180,
C120,100N,TopLayer,C0201_L,20.35,20.475,270,
U200,M24C02,BottomLayer,TDFN8_M050_2.0X3.0_EP,24.475,22.875,270,
C112,10N,TopLayer,C0201_L,13.35,13.025,270,
X2,32.768 kHz,TopLayer,X_MCS_CM8V-T1A,17.2,13.7,270,
C115,1U,TopLayer,C0402_L,14.125,12.075,270,
C118,100N,TopLayer,C0201_L,9.2,15.8,270,
C106,470N,TopLayer,C0402_L,10,23,90,
C105,TBD,TopLayer,C0201_L,9.35,22.675,90,
C107,100P,TopLayer,C0201_L,10.625,22.675,90,
U1,EFR32FG28B320F1024IM48,TopLayer,QFN48_M040_6.0X6.0_EP_SL,13,18,180,
R105,NM,TopLayer,R0201_L,14.55,23.675,180,
RP200,100R,BottomLayer,RES_MNR04-8,20.05,11.675,0,
C124,100N,TopLayer,C0201_L,20.925,14.1,270,
C203,100N,BottomLayer,C0201_L,2.675,9.0751,180,
C205,10U,BottomLayer,C0805_L,3.825,10.45,180,
C117,4U7,TopLayer,C0603_L,11.7,11.475,270,
C116,100N,TopLayer,C0201_L,12.4,13.725,0,
C114,100N,TopLayer,C0201_L,14.2,13.275,0,
C113,1U,TopLayer,C0402_L,12.7,12.025,270,
L101,2U2,TopLayer,COIL_1008_L,7.75,13.15,270,
TPJ20,TPJ_SMD,BottomLayer,TP_1.0_SMD,3.34,1.45,90,
